"day","hour","mean_arrivals","mean_arrivals_per_min"
"Sat",2,5.05194805194805,0.0841991341991342
"Sat",3,4.11688311688312,0.0686147186147186
"Sat",4,3.90909090909091,0.0651515151515152
"Sat",5,4.36363636363636,0.0727272727272727
"Sat",6,3.66233766233766,0.061038961038961
"Sat",7,6.31168831168831,0.105194805194805
"Sat",8,11.2207792207792,0.187012987012987
"Sat",9,15.6883116883117,0.261471861471861
"Sat",10,19.3376623376623,0.322294372294372
"Sat",11,18.3116883116883,0.305194805194805
"Sat",12,20.2857142857143,0.338095238095238
"Sat",13,19.7922077922078,0.32987012987013
"Sat",14,19.1168831168831,0.318614718614719
"Sat",15,19.1558441558442,0.319264069264069
"Sat",16,18.3116883116883,0.305194805194805
"Sat",17,16.8181818181818,0.28030303030303
"Sat",18,15.2857142857143,0.254761904761905
"Sat",19,15.7922077922078,0.263203463203463
"Sat",20,15.5064935064935,0.258441558441558
"Sat",21,13.6753246753247,0.227922077922078
"Sat",22,11.7012987012987,0.195021645021645
"Sat",23,8.92207792207792,0.148701298701299
