"","p_cal"
"268",0.0493189678754004
"269",0.307650865208522
"270",0.906727783448284
"271",0.0529564044141485
"272",0.63189106799466
"273",0.355872344974554
"274",0.474289095001904
"275",0.2287731344755
"276",0.426293936296803
"277",0.187280387065461
"278",0.283212361336211
"279",0.509839059719842
"280",0.609748194183913
"281",0.0300569090417408
"282",0.774955864205642
"283",0.840864026266083
"284",0.342888543953059
"285",0.43755392576223
"286",0.0296091253717621
"287",0.354626096440583
"288",0.481576149862719
"289",0.611782005916677
"290",0.22681784556212
"291",0.0161851871868744
"292",0.964719103612567
"293",0.302809439733115
"294",0.328963377741193
"295",0.0169623607159219
"296",0.0388694939378601
"297",0.839218951605317
"298",0.127079748171254
"299",0.617032391634395
"300",0.636832785913259
"301",0.0904348794909896
"302",0.366324350742338
"303",0.0250335078804536
"304",0.0251598020123343
"305",0.877371460158315
"306",0.283191775879356
"307",0.156530418073474
"308",0.519657926367288
"309",0.273796304263098
"310",0.65047651356848
"311",0.758973081760696
"312",0.645886408976258
"313",0.319281314138615
"314",0.143207403954949
"315",0.828627874788775
"316",0.0436289127241035
"317",0.344110189014444
"318",0.37630520718774
"319",0.76637576705862
"320",0.0416860923992773
"321",0.0230892092836195
"322",0.032519273691021
"323",0.924425231776064
"324",0.601633580005123
"325",0.0479489306463228
"326",0.256923854901273
"327",0.490476737044153
"328",0.566574847692888
"329",0.132757328922546
"330",0.289668891303286
"331",0.224945606795985
"332",0.396007093286063
"333",0.194975390649911
"334",0.334596996456296
"335",0.197072202390514
"336",0.0124254798847436
"337",0.680608975665597
"338",0.569986288149699
"339",0.632397714227313
"340",0.495551488419434
"341",0.724135700168308
"342",0.0443598688477424
"343",0.351658349018045
"344",0.031055718590458
"345",0.315279544009766
"346",0.840892570249664
"347",0.707111847766212
"348",0.780471127285462
"349",0.772731134044694
"350",0.0580093674937094
"351",0.237893326658464
"352",0.895671866657961
"353",0.416491474597841
"354",0.28078857332949
"355",0.0355972934653166
"356",0.478472854841359
"357",0.836800123122867
"358",0.822598105127973
"359",0.420552449540922
"360",0.678321726420463
"361",0.706760142948837
"362",0.899893295757635
"363",0.0179739993150912
"364",0.490718280999841
"365",0.64189610302706
"366",0.930813173453536
"367",0.0378806006254893
"368",0.0383739979618996
"369",0.0701329311707236
"370",0.242650278659629
"371",0.729880834180674
"372",0.461960400625761
"373",0.191736194290777
"374",0.887763882176738
"375",0.426972315453492
"376",0.155467046046477
"377",0.176618335092116
"378",0.268153582303296
"379",0.0907075308997858
"380",0.0776169031291724
"381",0.653661568103649
"382",0.795335550204967
"383",0.72474439395285
"384",0.108262856320998
"385",0.832604400747094
"386",0.898169413350255
"387",0.0155892117569551
"388",0.188501751610115
"389",0.401261187341238
"390",0.579317711487043
"391",0.111039715021501
"392",0.0500652447528816
"393",0.01012801844298
"394",0.170637743803623
"395",0.142982636604112
"396",0.862220507909926
"397",0.686202980699605
"398",0.854979171308551
"399",0.51437641317267
"400",0.848861927828933
"401",0.316785822139033
"402",0.0955722488328555
"403",0.229567213506527
"404",0.75504451566171
"405",0.380130866694314
"406",0.453270473041792
"407",0.16332484925772
"408",0.0178924535331301
"409",0.0802898134647031
"410",0.114773402470565
"411",0.37064197721589
"412",0.118787980423965
"413",0.61302097275033
"414",0.43601215997807
"415",0.62173199686573
"416",0.300489443162112
"417",0.313060191770643
"418",0.951826303333688
"419",0.518155564403165
"420",0.178462722056422
"421",0.129042296275345
"422",0.053974231030306
"423",0.410877417749578
"424",0.0190985796650406
