hour_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,prop_sdec_appropriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number
19,1.5861601292749876,38.014064353825695,138.7367017769584,331.05327704665876,509.68434130185585,0.08235294117647059,0.0,221.92258435000593,0.22018348623853212,0.07339449541284404,39
20,0.9736643574793797,61.10511742727676,,375.9551660273458,604.8079417285137,0.08163265306122448,0.0,245.90294908190563,0.25203252032520324,0.08130081300813008,39
21,1.1360550382030885,68.42906684313647,,366.3565071183264,610.7209226764018,0.10465116279069768,0.0,252.47839165852386,0.3177570093457944,0.04672897196261682,39
22,2.421721662389796,99.15096407226841,,439.57871008676517,613.1230717462627,0.06666666666666667,0.0,284.4607453800111,0.3815789473684211,0.06578947368421052,39
23,1.517431926986858,98.46368277000752,54.85155562999353,327.1834178331099,526.2665989110717,0.08888888888888889,0.0,261.06578079878017,0.35185185185185186,0.037037037037037035,39
0,3.6967108345778206,144.17027395286064,,2293.1031663937706,2787.6044933753847,0.14285714285714285,0.0,386.61710745550823,0.4576271186440678,0.0847457627118644,40
1,1.2182498564115274,123.39122242351534,55.588588776057804,1968.8214026861992,2723.135635761271,0.0967741935483871,0.0,554.1646525386274,0.4791666666666667,0.16666666666666666,40
2,1.209749409002437,132.2747757908417,,2639.7167513139975,2946.6053877187333,0.1,0.0,783.4543051692862,0.6176470588235294,0.17647058823529413,40
3,0.0,69.49109960630022,,2890.068165982992,3192.3188761648485,0.125,0.0,533.0883708069939,0.3,0.15,40
4,0.4767084125600204,77.25192277809282,,,,0.26666666666666666,0.0,172.44163604452353,0.2857142857142857,0.0,40
5,0.11562552693046654,49.120208411579874,,1260.6952537881746,1405.1425061775626,0.05,0.0,460.9217336062521,0.43333333333333335,0.2,40
6,0.9648763066658022,39.53625829700532,,3153.9664647456766,3306.689427673454,0.1111111111111111,0.0,268.49484241849404,0.2222222222222222,0.027777777777777776,40
7,0.3707900558186907,20.54528848550371,,1466.8526219306177,1182.413949665808,0.11764705882352941,0.10344827586206896,307.5133547739475,0.25,0.1,40
8,3.8545458317767687,11.000918904074153,,650.0826729275142,956.0360021259772,0.125,0.14285714285714285,152.31943996903553,0.14814814814814814,0.04938271604938271,40
9,2.8992216908150694,9.659355883248274,,1494.6424810928074,1687.5976976264221,0.05263157894736842,0.02564102564102564,268.3389968936681,0.19008264462809918,0.09917355371900827,40
10,13.133488421687249,18.84056761638297,76.21282145994428,1798.5572559623447,2050.7043686940556,0.06837606837606838,0.07368421052631578,339.0196904586707,0.21518987341772153,0.11392405063291139,40
11,20.20383185678568,26.972930631453686,,1565.955409960381,1838.4317787389555,0.10687022900763359,0.08849557522123894,277.52123795975797,0.2,0.08235294117647059,40
12,11.6976047821816,22.475762752962545,104.02696971081423,1808.835054511669,2104.5012436347392,0.16030534351145037,0.05357142857142857,317.2886958835829,0.21084337349397592,0.0963855421686747,40
13,11.565153171254995,19.531926976868682,,2133.0463944815438,2080.6555148880657,0.0967741935483871,0.052083333333333336,424.58229611723635,0.19642857142857142,0.13095238095238096,40
14,5.802720636466379,14.724351365675316,52.653918360001626,1682.5404483448424,1656.6877832815999,0.16037735849056603,0.011627906976744186,373.55613039635347,0.20833333333333334,0.13194444444444445,40
15,2.1579906534166278,18.384335564015135,,2098.8248034919566,2292.9736533913083,0.15315315315315314,0.011627906976744186,337.28185949196285,0.20279720279720279,0.09090909090909091,40
16,1.4767664283797828,18.581195296889003,,1942.9713343784356,1958.6317124035754,0.14150943396226415,0.0,348.5302947652444,0.17123287671232876,0.1095890410958904,40
