day_of_arrival,mean_arrival_triage,mean_arrival_ed,mean_arrival_referral,arrival_medical_assessment,mean_arrival_consultant_assessment,sdec_appopriate,prop_sdec_accepted,time_in_ed,prop_>4hr_breach,prop_>12hr_breach,run_number
Sat,3.446070937009986,36.82611472368575,,2103.422694434106,2539.216412184706,0.0735930735930736,0.02,417.03533522612,0.28368794326241137,0.10638297872340426,7
Sun,2.9222443478633777,69.42458167522818,75.6129405531774,1917.4254630540893,2156.0169544861205,0.12773722627737227,0.05726872246696035,224.0920026884834,0.25663716814159293,0.02359882005899705,7
Thu,3.502826330953358,48.41775242356224,,1723.0115718696811,1822.430002321908,0.09090909090909091,0.017391304347826087,390.7284748599191,0.3294460641399417,0.14285714285714285,7
Tue,2.23253112479562,62.62502786301432,,1004.4442356026236,1169.2129765083205,0.09375,0.03482587064676617,361.40156240778674,0.3746397694524496,0.16138328530259366,7
Wed,3.997247174715523,53.71009822699371,34.72580223924933,1452.454665623745,1603.4189526674659,0.10676156583629894,0.016597510373443983,346.75518837102703,0.31197771587743733,0.12256267409470752,7
Fri,1.9667841916204176,57.36139526559726,55.579954403020565,1731.1157513862365,1899.086147554348,0.12595419847328243,0.020202020202020204,566.9258963633242,0.3853211009174312,0.21712538226299694,8
Mon,18.140238947327983,53.08388214599047,,,,0.1,0.0622568093385214,139.93574868782582,0.11274509803921569,0.0,8
Sat,1.4145575995579454,15.942163589887976,145.54068663770795,2275.4531846153145,2512.1266895700205,0.09787234042553192,0.02030456852791878,496.5407782355713,0.2578397212543554,0.15331010452961671,8
Sun,1.1948115291633672,13.50737593595089,,2200.4795385784582,2384.544250674492,0.09777777777777778,0.05172413793103448,174.7980041031405,0.11564625850340136,0.02040816326530612,8
Thu,5.7754089609979715,94.71428672009633,,1076.661521731572,1298.9577595454305,0.09259259259259259,0.01834862385321101,404.97220678035046,0.4281609195402299,0.16954022988505746,8
Tue,4.9748859691499225,87.94239240630851,118.56251748588534,637.8495661144269,864.2745415638512,0.09187279151943463,0.02074688796680498,303.2085130090523,0.3848314606741573,0.12359550561797752,8
Wed,2.5257845629106264,110.81116286348868,,876.2660619856662,1111.5548384292588,0.12167300380228137,0.018518518518518517,359.8736848450814,0.44192634560906513,0.1274787535410765,8
